team,conf,adjem,adjo,adjd,luck,Season,TeamID
kansas,B12,31.04,115.1,84.1,0.017,2020,1242
duke,ACC,27.6,116.1,88.5,0.01,2020,1181
baylor,B12,27.4,112.4,85.0,0.043,2020,1124
gonzaga,WCC,27.35,120.2,92.9,0.054000000000000006,2020,1211
san diego st.,MWC,27.24,116.2,88.9,0.022,2020,1361
dayton,A10,24.19,118.2,94.0,0.001,2020,1173
west virginia,B12,23.63,107.5,83.8,-0.02,2020,1452
west virginia,B12,23.63,107.5,83.8,-0.02,2020,1452
maryland,B10,22.46,111.0,88.5,0.035,2020,1268
ohio st.,B10,21.98,112.4,90.5,-0.046,2020,1326
michigan st.,B10,21.95,112.6,90.6,-0.047,2020,1277
arizona,P12,21.19,113.2,92.1,-0.039,2020,1112
louisville,ACC,21.19,114.7,93.5,0.017,2020,1257
penn st.,B10,20.83,111.7,90.9,0.047,2020,1336
creighton,BE,20.65,116.9,96.3,0.076,2020,1166
michigan,B10,20.58,112.4,91.8,-0.053,2020,1276
seton hall,BE,20.34,109.9,89.5,-0.006,2020,1371
seton hall,BE,20.34,109.9,89.5,-0.006,2020,1371
texas tech,B12,20.25,109.6,89.3,-0.093,2020,1403
texas tech,B12,20.25,109.6,89.3,-0.093,2020,1403
colorado,P12,20.11,110.3,90.1,0.029,2020,1160
byu,WCC,19.98,116.8,96.8,-0.02,2020,1140
houston,Amer,19.51,112.4,92.9,-0.034,2020,1222
florida st.,ACC,19.37,110.4,91.0,0.079,2020,1199
iowa,B10,19.29,116.6,97.3,0.034,2020,1234
villanova,BE,19.0,114.2,95.2,0.08,2020,1437
oregon,P12,18.81,115.5,96.6,0.03,2020,1332
purdue,B10,18.71,110.2,91.5,-0.107,2020,1345
marquette,BE,18.28,112.2,93.9,0.008,2020,1266
butler,BE,17.82,112.0,94.2,0.034,2020,1139
wisconsin,B10,17.7,109.0,91.3,-0.008,2020,1458
rutgers,B10,17.69,107.4,89.7,-0.024,2020,1353
kentucky,SEC,17.69,111.7,94.0,0.002,2020,1246
illinois,B10,17.67,109.4,91.8,-0.005,2020,1228
minnesota,B10,16.97,110.7,93.7,-0.092,2020,1278
auburn,SEC,16.12,111.9,95.8,0.158,2020,1120
florida,SEC,15.85,111.7,95.8,-0.01,2020,1196
saint mary's,WCC,15.5,114.6,99.1,0.032,2020,1388
lsu,SEC,15.4,117.8,102.4,-0.022,2020,1261
wichita st.,Amer,15.24,105.3,90.1,0.053,2020,1455
oklahoma,B12,15.2,108.9,93.7,0.032,2020,1328
cincinnati,Amer,15.05,108.5,93.4,-0.028,2020,1153
utah st.,MWC,15.04,108.5,93.5,0.031,2020,1429
northern iowa,MVC,14.8,114.2,99.4,0.006999999999999999,2020,1320
northern iowa,MVC,14.8,114.2,99.4,0.006999999999999999,2020,1320
xavier,BE,14.65,106.0,91.4,0.02,2020,1462
rhode island,A10,14.33,106.0,91.7,0.046,2020,1348
rhode island,A10,14.33,106.0,91.7,0.046,2020,1348
stanford,P12,14.14,103.6,89.5,-0.1,2020,1390
georgetown,BE,13.9,112.8,98.9,-0.008,2020,1207
alabama,SEC,13.9,110.7,96.8,-0.084,2020,1104
indiana,B10,13.79,109.2,95.4,0.044,2020,1231
mississippi st.,SEC,13.77,112.6,98.8,-0.019,2020,1280
yale,Ivy,13.66,106.9,93.3,-0.084,2020,1463
arkansas,SEC,13.54,105.6,92.1,-0.054000000000000006,2020,1116
richmond,A10,13.01,108.5,95.4,0.056,2020,1350
virginia,ACC,13.01,98.5,85.5,0.063,2020,1438
vcu,A10,12.7,104.8,92.1,-0.039,2020,1433
syracuse,ACC,12.33,112.5,100.2,-0.069,2020,1393
usc,P12,12.32,104.8,92.5,0.09,2020,1425
east tennessee st.,SC,12.07,108.5,96.5,0.057,2020,1190
arizona st.,P12,12.04,104.6,92.5,0.08800000000000001,2020,1113
providence,BE,11.86,105.4,93.5,-0.042,2020,1344
liberty,ASun,11.83,104.7,92.9,0.025,2020,1251
n.c. state,ACC,11.82,109.4,97.5,-0.015,2020,1301
connecticut,Amer,11.71,105.0,93.3,-0.102,2020,1163
unc greensboro,SC,11.58,104.1,92.5,-0.006999999999999999,2020,1422
tennessee,SEC,11.53,104.9,93.4,-0.036000000000000004,2020,1397
washington,P12,11.51,104.0,92.5,-0.162,2020,1449
notre dame,ACC,11.5,110.9,99.4,-0.023,2020,1323
notre dame,ACC,11.5,110.9,99.4,-0.023,2020,1323
vermont,AE,11.49,105.6,94.1,-0.024,2020,1436
memphis,Amer,11.31,102.0,90.7,0.013,2020,1272
oklahoma st.,B12,10.92,105.6,94.7,-0.008,2020,1329
akron,MAC,10.86,109.2,98.4,-0.01,2020,1103
iowa st.,B12,10.85,110.7,99.9,-0.08800000000000001,2020,1235
north texas,CUSA,10.76,111.9,101.1,-0.024,2020,1317
north texas,CUSA,10.76,111.9,101.1,-0.024,2020,1317
clemson,ACC,10.74,102.9,92.2,-0.048,2020,1155
south carolina,SEC,10.67,104.2,93.6,0.016,2020,1376
south carolina,SEC,10.67,104.2,93.6,0.016,2020,1376
davidson,A10,10.67,111.9,101.2,-0.127,2020,1172
smu,Amer,10.64,115.0,104.4,0.05,2020,1374
nevada,MWC,10.61,109.4,98.8,-0.004,2020,1305
furman,SC,10.45,107.3,96.9,0.056,2020,1202
st. john's,BE,10.27,105.1,94.9,-0.068,2020,1385
louisiana tech,CUSA,10.09,107.1,97.0,-0.031,2020,1256
louisiana tech,CUSA,10.09,107.1,97.0,-0.031,2020,1256
depaul,BE,9.96,103.9,93.9,-0.051,2020,1177
tulsa,Amer,9.64,103.7,94.1,0.042,2020,1409
georgia tech,ACC,9.55,101.8,92.3,-0.045,2020,1210
georgia tech,ACC,9.55,101.8,92.3,-0.045,2020,1210
texas,B12,9.35,102.4,93.0,0.057,2020,1400
northern colorado,BSky,9.23,108.4,99.2,-0.053,2020,1294
northern colorado,BSky,9.23,108.4,99.2,-0.053,2020,1294
oregon st.,P12,8.97,110.0,101.0,-0.021,2020,1333
boise st.,MWC,8.75,106.4,97.7,0.025,2020,1129
mississippi,SEC,8.65,103.8,95.1,-0.052000000000000005,2020,1279
tcu,B12,8.55,104.0,95.4,0.031,2020,1395
san francisco,WCC,8.3,108.0,99.7,-0.014,2020,1362
san francisco,WCC,8.3,108.0,99.7,-0.014,2020,1362
duquesne,A10,8.18,105.4,97.2,0.057,2020,1182
saint louis,A10,8.12,104.7,96.6,0.029,2020,1387
saint louis,A10,8.12,104.7,96.6,0.029,2020,1387
virginia tech,ACC,8.06,105.6,97.5,-0.001,2020,1439
virginia tech,ACC,8.06,105.6,97.5,-0.001,2020,1439
north carolina,ACC,8.02,105.2,97.2,-0.08800000000000001,2020,1314
north carolina,ACC,8.02,105.2,97.2,-0.08800000000000001,2020,1314
colorado st.,MWC,7.72,108.9,101.2,0.063,2020,1161
loyola chicago,MVC,7.62,103.0,95.3,0.005,2020,1260
loyola chicago,MVC,7.62,103.0,95.3,0.005,2020,1260
kansas st.,B12,7.56,101.9,94.3,-0.139,2020,1243
wake forest,ACC,7.36,106.1,98.7,-0.036000000000000004,2020,1448
wake forest,ACC,7.36,106.1,98.7,-0.036000000000000004,2020,1448
pittsburgh,ACC,7.18,105.1,97.9,0.019,2020,1338
ucla,P12,6.95,108.1,101.1,0.03,2020,1417
texas st.,SB,6.93,104.7,97.8,-0.064,2020,1402
belmont,OVC,6.66,106.6,99.9,-0.029,2020,1125
missouri,SEC,6.28,104.3,98.1,-0.041,2020,1281
georgia st.,SB,6.26,106.6,100.3,-0.027000000000000003,2020,1209
miami fl,ACC,6.2,108.9,102.7,0.06,2020,1274
miami fl,ACC,6.2,108.9,102.7,0.06,2020,1274
georgia,SEC,6.15,106.6,100.5,-0.052000000000000005,2020,1208
stephen f. austin,Slnd,6.07,103.9,97.8,0.051,2020,1372
uc irvine,BW,6.02,104.5,98.5,-0.063,2020,1414
uc irvine,BW,6.02,104.5,98.5,-0.063,2020,1414
bradley,MVC,5.98,104.8,98.8,0.022,2020,1133
harvard,Ivy,5.92,105.6,99.7,0.016,2020,1217
temple,Amer,5.87,99.7,93.8,-0.006999999999999999,2020,1396
western kentucky,CUSA,5.59,107.2,101.6,0.036000000000000004,2020,1443
western kentucky,CUSA,5.59,107.2,101.6,0.036000000000000004,2020,1443
unlv,MWC,5.45,107.1,101.6,-0.028,2020,1424
st. bonaventure,A10,5.39,106.8,101.4,0.07,2020,1382
south dakota st.,Sum,5.38,109.3,103.9,-0.002,2020,1355
wright st.,Horz,5.21,105.9,100.7,-0.001,2020,1460
new mexico st.,WAC,5.18,106.1,100.9,0.07200000000000001,2020,1308
utah,P12,5.18,104.8,99.7,0.065,2020,1428
ut arlington,SB,5.1,102.8,97.7,-0.135,2020,1426
ut arlington,SB,5.1,102.8,97.7,-0.135,2020,1426
indiana st.,MVC,5.1,105.7,100.6,-0.008,2020,1232
colgate,Pat,4.73,106.2,101.5,0.063,2020,1159
hofstra,CAA,4.57,106.8,102.2,0.069,2020,1220
north dakota st.,Sum,4.34,107.0,102.6,0.014,2020,1295
pacific,WCC,4.33,102.0,97.7,0.054000000000000006,2020,1334
northwestern,B10,4.32,105.8,101.5,-0.13,2020,1321
ucf,Amer,4.16,101.9,97.7,0.01,2020,1416
washington st.,P12,4.07,101.3,97.3,-0.004,2020,1450
south florida,Amer,4.0,99.1,95.1,-0.077,2020,1378
south florida,Amer,4.0,99.1,95.1,-0.077,2020,1378
kent st.,MAC,3.97,104.7,100.8,0.019,2020,1245
ball st.,MAC,3.76,97.3,93.6,-0.106,2020,1123
little rock,SB,3.75,105.0,101.3,0.064,2020,1114
little rock,SB,3.75,105.0,101.3,0.064,2020,1114
winthrop,BSth,3.68,104.4,100.7,-0.058,2020,1457
montana,BSky,3.29,103.3,100.1,0.051,2020,1285
missouri st.,MVC,3.19,102.7,99.5,-0.067,2020,1283
murray st.,OVC,3.15,103.5,100.4,-0.018000000000000002,2020,1293
buffalo,MAC,3.11,103.4,100.3,0.034,2020,1138
nebraska,B10,2.97,104.1,101.1,-0.063,2020,1304
northeastern,CAA,2.76,104.7,102.0,-0.146,2020,1318
oral roberts,Sum,2.6,107.7,105.1,-0.081,2020,1331
oral roberts,Sum,2.6,107.7,105.1,-0.081,2020,1331
eastern washington,BSky,2.49,103.6,101.1,0.102,2020,1186
eastern washington,BSky,2.49,103.6,101.1,0.102,2020,1186
new mexico,MWC,2.2,106.5,104.3,0.066,2020,1307
new mexico,MWC,2.2,106.5,104.3,0.066,2020,1307
pepperdine,WCC,2.0,108.7,106.7,0.046,2020,1337
boston university,Pat,2.0,105.4,103.4,-0.024,2020,1131
boston university,Pat,2.0,105.4,103.4,-0.024,2020,1131
santa clara,WCC,1.64,101.5,99.9,0.087,2020,1365
santa clara,WCC,1.64,101.5,99.9,0.087,2020,1365
valparaiso,MVC,1.58,101.8,100.2,-0.001,2020,1434
penn,Ivy,1.57,102.0,100.4,0.078,2020,1335
appalachian st.,SB,1.54,100.2,98.6,0.032,2020,1111
stony brook,AE,1.53,100.9,99.3,0.026,2020,1392
stony brook,AE,1.53,100.9,99.3,0.026,2020,1392
marshall,CUSA,1.52,99.1,97.6,-0.071,2020,1267
charleston,CAA,1.51,105.2,103.7,-0.012,2020,1158
southern utah,BSky,1.47,97.5,96.0,-0.055,2020,1381
southern utah,BSky,1.47,97.5,96.0,-0.055,2020,1381
chattanooga,SC,1.37,104.8,103.4,0.028,2020,1151
bowling green,MAC,1.14,105.8,104.7,0.16,2020,1132
bowling green,MAC,1.14,105.8,104.7,0.16,2020,1132
austin peay,OVC,1.14,108.1,107.0,0.054000000000000006,2020,1122
austin peay,OVC,1.14,108.1,107.0,0.054000000000000006,2020,1122
charlotte,CUSA,1.13,99.9,98.8,-0.024,2020,1150
boston college,ACC,1.04,98.3,97.3,0.106,2020,1130
boston college,ACC,1.04,98.3,97.3,0.106,2020,1130
georgia southern,SB,1.03,101.1,100.1,0.003,2020,1204
georgia southern,SB,1.03,101.1,100.1,0.003,2020,1204
western carolina,SC,1.0,107.2,106.2,0.098,2020,1441
western carolina,SC,1.0,107.2,106.2,0.098,2020,1441
towson,CAA,0.93,104.6,103.6,0.006999999999999999,2020,1406
fiu,CUSA,0.91,102.2,101.3,0.029,2020,1198
fresno st.,MWC,0.82,104.2,103.3,-0.128,2020,1201
northern kentucky,Horz,0.78,101.6,100.9,0.07200000000000001,2020,1297
northern kentucky,Horz,0.78,101.6,100.9,0.07200000000000001,2020,1297
siena,MAAC,0.74,105.9,105.1,-0.05,2020,1373
old dominion,CUSA,0.63,97.2,96.6,-0.08800000000000001,2020,1330
old dominion,CUSA,0.63,97.2,96.6,-0.08800000000000001,2020,1330
north florida,ASun,0.56,109.7,109.2,0.044,2020,1316
north florida,ASun,0.56,109.7,109.2,0.044,2020,1316
uc santa barbara,BW,0.52,106.8,106.3,-0.016,2020,1364
uc santa barbara,BW,0.52,106.8,106.3,-0.016,2020,1364
uc santa barbara,BW,0.52,106.8,106.3,-0.016,2020,1364
wofford,SC,0.49,104.4,104.0,0.005,2020,1459
radford,BSth,0.44,105.9,105.4,0.046,2020,1347
southern illinois,MVC,0.36,97.8,97.5,0.022,2020,1356
southern illinois,MVC,0.36,97.8,97.5,0.022,2020,1356
texas a&m,SEC,0.29,97.7,97.4,0.079,2020,1401
toledo,MAC,0.29,106.3,106.0,-0.117,2020,1405
eastern michigan,MAC,0.25,92.5,92.2,0.052000000000000005,2020,1185
eastern michigan,MAC,0.25,92.5,92.2,0.052000000000000005,2020,1185
george mason,A10,0.15,101.6,101.5,0.067,2020,1206
george mason,A10,0.15,101.6,101.5,0.067,2020,1206
vanderbilt,SEC,0.1,103.8,103.7,-0.076,2020,1435
south dakota,Sum,-0.06,109.1,109.2,0.057,2020,1377
south dakota,Sum,-0.06,109.1,109.2,0.057,2020,1377
drake,MVC,-0.1,103.1,103.2,0.08900000000000001,2020,1179
st. francis pa,NEC,-0.52,106.8,107.3,0.045,2020,1384
sam houston st.,Slnd,-0.56,102.2,102.7,-0.05,2020,1358
california,P12,-0.68,99.8,100.5,0.07,2020,1143
northern illinois,MAC,-0.71,97.6,98.3,0.033,2020,1296
northern illinois,MAC,-0.71,97.6,98.3,0.033,2020,1296
south alabama,SB,-0.72,103.2,103.9,0.04,2020,1375
south alabama,SB,-0.72,103.2,103.9,0.04,2020,1375
la salle,A10,-0.73,98.9,99.7,0.02,2020,1247
la salle,A10,-0.73,98.9,99.7,0.02,2020,1247
abilene christian,Slnd,-0.87,98.0,98.9,-0.061,2020,1101
abilene christian,Slnd,-0.87,98.0,98.9,-0.061,2020,1101
princeton,Ivy,-1.33,106.1,107.5,0.025,2020,1343
portland st.,BSky,-1.35,107.8,109.2,-0.034,2020,1340
delaware,CAA,-1.42,105.2,106.6,0.094,2020,1174
massachusetts,A10,-1.47,101.9,103.4,-0.004,2020,1269
rider,MAAC,-1.56,101.9,103.5,0.044,2020,1351
nicholls st.,Slnd,-1.71,99.0,100.7,0.054000000000000006,2020,1311
cal baptist,WAC,-1.74,105.3,107.0,0.025,2020,1465
uab,CUSA,-1.82,100.7,102.5,0.049,2020,1412
ohio,MAC,-1.96,102.2,104.2,-0.018000000000000002,2020,1325
arkansas st.,SB,-1.99,105.5,107.5,0.07200000000000001,2020,1117
prairie view a&m,SWAC,-2.25,95.8,98.0,0.0,2020,1341
sacred heart,NEC,-2.25,101.1,103.4,0.0,2020,1357
sacred heart,NEC,-2.25,101.1,103.4,0.0,2020,1357
central michigan,MAC,-2.37,102.8,105.1,-0.001,2020,1141
central michigan,MAC,-2.37,102.8,105.1,-0.001,2020,1141
utsa,CUSA,-2.5,105.9,108.4,-0.043,2020,1427
air force,MWC,-2.52,108.3,110.8,-0.07200000000000001,2020,1102
