,Season,T1_TeamName,T2_TeamName,City,State
0,2003,texas southern,unc asheville,Dayton,OH
1,2003,dayton,tulsa,Spokane, WA
2,2003,missouri,southern illinois,Indianapolis, IN
3,2003,marquette,holy cross,Indianapolis, IN
4,2003,indiana,alabama,Boston, MA
5,2003,pitt,wagner,Boston, MA
6,2003,kentucky,utah,Nashville, TN
7,2003,wisconsin,tulsa,Spokane, WA
8,2003,missouri,marquette,Indianapolis, IN
9,2003,indiana,pitt,Boston, MA
10,2003,kentucky,wisconsin,Minneapolis, MN
11,2003,marquette,pitt,Minneapolis, MN
12,2003,kentucky,marquette,Minneapolis, MN
13,2003,arizona,vermont,Salt Lake City, UT
14,2003,notre dame,milwaukee,Indianapolis, IN
15,2003,illinois,western kentucky,Indianapolis, IN
16,2003,creighton,central michigan,Salt Lake City, UT
17,2003,duke,colorado state,Salt Lake City, UT
18,2003,memphis,arizona state,Oklahoma City, OK
19,2003,kansas,utah state,Oklahoma City, OK
20,2003,arizona,gonzaga,Salt Lake City, UT
21,2003,notre dame,illinois,Indianapolis, IN
22,2003,central michigan,duke,Salt Lake City, UT
23,2003,arizona state,kansas,Oklahoma City, OK
24,2003,arizona,notre dame,Anaheim, CA
25,2003,duke,kansas,Anaheim, CA
26,2003,arizona,kansas,Anaheim, CA
27,2003,syracuse,texas,New Orleans, LA
28,2003,marquette,kansas,New Orleans, LA
29,2003,syracuse,kansas,New Orleans, LA
30,2003,wisconsin,weber state,Spokane, WA
31,2003,oregon,utah,Nashville, TN
32,2003,cincinnati,gonzaga,Salt Lake City, UT
33,2003,oklahoma,syracuse,Albany, NY
34,2003,kentucky,iupui,Nashville, TN
35,2003,texas,unc asheville,Birmingham, AL
36,2003,lsu,purdue,Birmingham, AL
37,2003,uconn,byu,Spokane, WA
38,2003,stanford,san diego,Spokane, WA
39,2003,maryland,unc wilmington,Nashville, TN
40,2003,xavier,troy,Nashville, TN
41,2003,michigan state,colorado,Tampa, FL
42,2003,florida,sam houston state,Tampa, FL
43,2003,uconn,stanford,Spokane, WA
44,2003,maryland,xavier,Nashville, TN
45,2003,michigan state,florida,Tampa, FL
46,2003,texas,uconn,San Antonio, TX
47,2003,maryland,michigan state,San Antonio, TX
48,2003,texas,michigan state,San Antonio, TX
49,2003,texas,purdue,Birmingham, AL
50,2003,syracuse,auburn,Albany, NY
51,2003,oklahoma,south carolina state,Oklahoma City, OK
52,2003,oklahoma,butler,Albany, NY
53,2003,auburn,wake forest,Tampa, FL
54,2003,oklahoma state,syracuse,Boston, MA
55,2003,butler,louisville,Birmingham, AL
56,2003,wake forest,etsu,Tampa, FL
57,2003,oklahoma,california,Oklahoma City, OK
58,2003,syracuse,manhattan,Boston, MA
59,2003,oklahoma state,penn,Boston, MA
60,2003,louisville,austin peay,Birmingham, AL
61,2003,mississippi state,butler,Birmingham, AL
62,2003,california,nc state,Oklahoma City, OK
63,2003,st. joseph's,auburn,Tampa, FL
64,2004,memphis,oklahoma state,Kansas City, MO
65,2004,stanford,utsa,Seattle, WA
66,2004,st. joseph's,oklahoma state,East Rutherford, NJ
67,2004,pitt,oklahoma state,East Rutherford, NJ
68,2004,st. joseph's,wake forest,East Rutherford, NJ
69,2004,wisconsin,pitt,Milwaukee, WI
70,2004,wake forest,vcu,Raleigh, NC
71,2004,st. joseph's,texas tech,Buffalo, NY
72,2004,oklahoma state,eastern washington,Kansas City, MO
73,2004,memphis,south carolina,Kansas City, MO
74,2004,pitt,ucf,Milwaukee, WI
75,2004,wisconsin,richmond,Milwaukee, WI
76,2004,alabama,southern illinois,Seattle, WA
77,2004,manhattan,wake forest,Raleigh, NC
78,2004,syracuse,byu,Denver, CO
79,2004,uconn,georgia tech,San Antonio, TX
80,2004,vanderbilt,western michigan,Denver, CO
81,2004,nc state,louisiana,Orlando, FL
82,2004,depaul,dayton,Buffalo, NY
83,2004,uconn,vermont,Buffalo, NY
84,2004,stanford,alabama,Seattle, WA
85,2004,syracuse,maryland,Denver, CO
86,2004,vanderbilt,nc state,Denver, CO
87,2004,depaul,uconn,Buffalo, NY
88,2004,alabama,syracuse,Phoenix, AZ
89,2004,vanderbilt,uconn,Phoenix, AZ
90,2004,alabama,uconn,Phoenix, AZ
91,2004,uconn,duke,San Antonio, TX
92,2004,oklahoma state,georgia tech,San Antonio, TX
93,2004,florida,manhattan,Raleigh, NC
94,2004,maryland,utep,Denver, CO
95,2004,texas tech,charlotte,Buffalo, NY
96,2004,kansas,georgia tech,St. Louis, MO
97,2004,duke,xavier,Atlanta, GA
98,2004,st. joseph's,liberty,Buffalo, NY
99,2004,lehigh,florida a&m,Dayton,OH
100,2004,kentucky,florida a&m,Columbus, OH
101,2004,washington,alabama-birmingham,Columbus, OH
102,2004,providence,pacific,Kansas City, MO
103,2004,kansas,uic,Kansas City, MO
104,2004,boston college,utah,Milwaukee, WI
105,2004,georgia tech,northern iowa,Milwaukee, WI
106,2004,michigan state,nevada,Seattle, WA
107,2004,kentucky,alabama-birmingham,Columbus, OH
108,2004,pacific,kansas,Kansas City, MO
109,2004,boston college,georgia tech,Milwaukee, WI
110,2004,nevada,gonzaga,Seattle, WA
111,2004,alabama-birmingham,kansas,St. Louis, MO
112,2004,georgia tech,nevada,St. Louis, MO
113,2004,gonzaga,valparaiso,Seattle, WA
114,2004,duke,alabama state,Raleigh, NC
115,2004,duke,illinois,Atlanta, GA
116,2004,xavier,mississippi state,Orlando, FL
117,2004,unc,texas,Denver, CO
118,2004,illinois,cincinnati,Columbus, OH
119,2004,duke,seton hall,Raleigh, NC
120,2004,mississippi state,monmouth,Orlando, FL
121,2004,texas,xavier,Atlanta, GA
122,2004,texas,princeton,Denver, CO
123,2004,unc,air force,Denver, CO
124,2004,cincinnati,etsu,Columbus, OH
125,2004,illinois,murray state,Columbus, OH
126,2004,seton hall,arizona,Raleigh, NC
127,2004,xavier,louisville,Orlando, FL
128,2005,illinois,fairleigh dickinson,Indianapolis, IN
129,2005,michigan state,kentucky,Austin, TX
130,2005,utah,kentucky,Austin, TX
131,2005,duke,michigan state,Austin, TX
132,2005,cincinnati,kentucky,Indianapolis, IN
133,2005,utah,oklahoma,Tucson, AZ
134,2005,kentucky,eastern kentucky,Indianapolis, IN
